iter	RMSE
0	0.6978686468
1	0.6814417125
2	0.6697924963
3	0.6540422799
4	0.6388707991
5	0.6297105105
6	0.6140068144
7	0.5995571112
8	0.5879497796
9	0.5798049668
10	0.5713396731
11	0.5620170563
12	0.555230216
13	0.5455607078
14	0.5322048283
15	0.5195557787
16	0.5125081642
17	0.5052572357
18	0.4940828589
19	0.4860082692
20	0.4747402425
21	0.4690213937
22	0.4615097551
23	0.4564916332
24	0.446442607
25	0.4399136231
26	0.4334786106
27	0.4275737726
28	0.4235906167
29	0.4205428121
30	0.4165673796
31	0.4126670687
32	0.4076651512
33	0.404384182
34	0.4005749441
35	0.3935907649
36	0.3901371426
37	0.3857740702
38	0.3788976088
39	0.3745909938
40	0.3701896524
41	0.3668121953
42	0.3599941099
43	0.3571893031
44	0.3508925523
45	0.3455116098
46	0.3433782843
47	0.3392308131
48	0.3367800939
49	0.3345877374
50	0.3294257594
51	0.3279385169
52	0.3251716706
53	0.3243908491
54	0.3213283202
55	0.31892431
56	0.3173617307
57	0.3153240702
58	0.3131173068
59	0.3114823033
60	0.3097363721
61	0.3074135532
62	0.3057021263
63	0.3033042118
64	0.3007896171
65	0.2964936822
66	0.2948644695
67	0.2922805923
68	0.2905313031
69	0.2887316272
70	0.2870385663
71	0.2851190688
72	0.2835678763
73	0.2818528539
74	0.2790325584
75	0.2774313768
76	0.2762757258
77	0.2742863646
78	0.2711330327
79	0.2702300769
80	0.2688194084
81	0.2680909226
82	0.2670286758
83	0.2649543593
84	0.2626276676
85	0.2610877425
86	0.2584236487
87	0.2580793506
88	0.2569596691
89	0.2552989309
90	0.2543289266
91	0.2519657717
92	0.2491915946
93	0.2488168792
94	0.2479536119
95	0.2466689045
96	0.2438137276
97	0.2431284601
98	0.2419715385
99	0.2404868582
100	0.2376107034
101	0.2357644588
102	0.2350510147
103	0.2341360616
104	0.2332273971
105	0.2314579101
106	0.2290188996
107	0.2285016989
108	0.2271953975
109	0.2267013622
110	0.2245631025
111	0.2234279759
112	0.2219696783
113	0.2205260979
114	0.2196086129
115	0.2186252789
116	0.2178548229
117	0.2170284291
118	0.21520637
119	0.2140041687
120	0.2127716966
121	0.2112908481
122	0.2101308499
123	0.2089662798
124	0.208583735
125	0.2079435292
126	0.2076602995
127	0.2067356828
128	0.2049977201
129	0.2031743113
130	0.2017581975
131	0.2013593526
132	0.2002880872
133	0.1997672269
134	0.1986212008
135	0.1981541387
136	0.1979562716
137	0.1968579863
138	0.1963986536
139	0.1955148309
140	0.194251845
141	0.1939503303
142	0.1926717506
143	0.1918454409
144	0.1903608578
145	0.1881032578
146	0.1864020082
147	0.1856128151
148	0.1844032892
149	0.1830492691
150	0.1811776687
151	0.180620872
152	0.1804128178
153	0.1789454569
154	0.1778107912
155	0.1769781375
156	0.1750985052
157	0.1748271113
158	0.1739384263
159	0.1733898081
160	0.1728137739
161	0.1726181389
162	0.1712537833
163	0.1705372154
