iter	Passed	Remaining
0	168	1687656
1	179	896557
2	188	629175
3	199	498564
4	207	415562
5	214	357028
6	220	314153
7	225	281216
8	230	255334
9	234	233890
10	238	216834
11	243	202476
12	247	190304
13	252	179809
14	256	170607
15	260	162574
16	265	155679
17	269	149610
18	274	143941
19	277	138458
20	282	134150
21	286	129969
22	290	126213
23	295	122747
24	299	119489
25	304	116648
26	308	114011
27	313	111490
28	317	109143
29	319	106015
30	322	103694
31	327	102126
32	331	100122
33	336	98641
34	340	96936
35	344	95403
36	348	93959
37	353	92612
38	357	91350
39	361	89985
40	366	88968
41	370	87925
42	375	86991
43	379	85831
44	385	85387
45	390	84565
46	395	83799
47	399	82856
48	405	82273
49	409	81557
50	414	80862
51	418	80110
52	423	79412
53	425	78429
54	429	77663
55	434	77088
56	438	76483
57	443	75938
58	447	75389
59	451	74854
60	456	74357
61	460	73866
62	465	73403
63	469	72849
64	473	72374
65	477	71800
66	481	71364
67	484	70825
68	489	70447
69	492	69830
70	496	69398
71	499	68911
72	503	68524
73	508	68166
74	512	67806
75	516	67388
76	520	67052
77	524	66693
78	528	66359
79	532	65996
80	535	65626
81	539	65293
82	544	65001
83	547	64681
84	551	64380
85	556	64101
86	560	63843
87	562	63351
88	565	63014
89	570	62787
90	572	62392
91	576	62077
92	580	61854
93	581	61329
94	585	61080
95	590	60889
96	593	60634
97	598	60498
98	602	60233
99	606	60049
100	610	59851
101	614	59672
102	619	59484
103	623	59300
104	626	59056
105	631	58897
106	634	58687
107	635	58217
108	639	58067
109	643	57832
110	647	57708
111	651	57557
112	655	57389
113	659	57190
114	663	57067
115	667	56891
116	670	56618
117	674	56469
118	678	56333
119	682	56223
120	687	56132
121	691	55958
122	696	55946
123	701	55850
124	704	55642
125	706	55362
126	710	55268
127	715	55168
128	719	55062
129	723	54943
130	727	54792
131	729	54558
132	733	54380
133	737	54285
134	741	54197
135	744	53994
136	746	53722
137	749	53591
138	751	53343
139	755	53198
140	759	53119
141	761	52878
142	765	52734
143	769	52660
144	773	52565
145	777	52484
146	781	52404
147	785	52289
148	789	52228
149	793	52132
150	797	52037
151	801	51902
152	802	51660
153	805	51520
154	810	51481
155	815	51444
156	820	51455
157	826	51483
158	830	51420
159	835	51360
160	839	51300
161	841	51083
162	845	51002
163	850	51032
164	855	50985
165	859	50921
166	862	50810
167	867	50779
168	869	50560
169	872	50459
170	876	50380
171	879	50280
172	881	50090
173	885	49985
174	887	49808
175	890	49693
176	892	49534
177	896	49444
178	900	49401
179	901	49206
180	905	49100
181	909	49050
182	913	48990
183	917	48924
184	918	48740
185	921	48644
186	924	48516
187	927	48422
188	932	48397
189	935	48289
190	939	48248
191	943	48203
192	947	48137
193	951	48070
194	954	47998
195	958	47937
196	962	47890
197	966	47846
198	969	47760
199	973	47718
200	978	47704
201	983	47697
